,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,sampit,-2.5333,112.95,82.29,88,92,3.15,ID,1666514848
367,kruisfontein,-34.0033,24.7314,73.89,47,6,5.64,ZA,1666514849
368,kununurra,-15.7667,128.7333,100.18,24,80,17.67,AU,1666514606
369,walvis bay,-22.9575,14.5053,60.1,88,100,8.05,NA,1666514851
370,mayskiy,47.6931,40.1025,53.01,50,100,10.33,RU,1666514851
371,miri,4.4148,114.0089,86.14,74,40,9.22,MY,1666514852
372,sapa,5.1544,120.3241,81.93,76,100,3.4,PH,1666514854
373,altamira,-3.2033,-52.2064,72.36,95,99,2.59,BR,1666514855
374,challans,46.8436,-1.8749,63.52,91,72,23.8,FR,1666514632
375,ketchikan,55.3422,-131.6461,39.67,93,100,3.44,US,1666514857
376,clyde river,70.4692,-68.5914,23.23,93,100,13.8,CA,1666514858
377,mabaruma,8.2,-59.7833,74.26,99,89,1.63,GY,1666514859
378,parabel,58.6978,81.4825,33.01,76,100,15.79,RU,1666514860
379,leh,34.1667,77.5833,40.41,31,0,2.89,IN,1666514861
380,rovaniemi,66.5,25.7167,36.81,55,0,13.8,FI,1666514862
381,lorengau,-2.0226,147.2712,81.93,65,27,3.85,PG,1666514863
382,fort saint james,54.4333,-124.25,30.29,96,89,0.76,CA,1666514864
383,puerto carreno,6.189,-67.4859,74.73,92,21,3.33,CO,1666514865
384,callaguip,18.0714,120.4867,87.82,70,40,4.61,PH,1666514866
385,rafaela,-31.2503,-61.4867,51.01,59,0,5.01,AR,1666514867
386,mlowo,-9.0,32.9833,86.43,17,10,7.0,TZ,1666514868
387,cabo san lucas,22.8909,-109.9124,75.61,84,99,15.21,MX,1666514822
388,haapsalu,58.9431,23.5414,48.97,92,100,11.79,EE,1666514870
389,isangel,-19.55,169.2667,74.84,74,100,21.74,VU,1666514871
390,shu,43.5983,73.7614,49.12,80,100,9.73,KZ,1666514871
391,boa vista,2.8197,-60.6733,76.98,88,0,3.44,BR,1666514873
392,vestmanna,62.1564,-7.1664,41.92,81,20,2.3,FO,1666514874
393,tromso,69.6496,18.957,37.42,70,75,34.52,NO,1666514875
394,utrecht,52.0,5.25,58.98,95,100,3.0,NL,1666514577
395,urucara,-2.5364,-57.76,74.89,92,100,0.27,BR,1666514877
396,lincoln,40.8,-96.667,64.56,78,0,9.22,US,1666514878
397,zapolyarnyy,69.4154,30.8136,34.88,91,100,15.3,RU,1666514879
398,kungalv,57.871,11.9805,55.26,98,100,6.13,SE,1666514880
399,barra do garcas,-15.89,-52.2567,71.92,83,100,1.57,BR,1666514880
400,molina,-35.1167,-71.2833,48.36,68,100,1.14,CL,1666514881
401,romanovo,52.6182,81.2271,35.6,85,100,21.7,RU,1666514883
402,khani,41.9563,42.9566,56.77,45,0,4.12,GE,1666514883
403,tshikapa,-6.4167,20.8,88.86,47,92,2.24,CD,1666514884
404,log,49.4844,43.8613,51.04,52,83,9.26,RU,1666514885
405,ust-nera,64.5667,143.2,-5.87,98,88,3.96,RU,1666514886
406,arona,28.0996,-16.681,70.99,82,20,5.75,ES,1666514887
407,muzhi,65.3667,64.6667,32.92,60,100,12.44,RU,1666514888
408,krasnoarmeysk,51.0239,45.6969,45.1,57,89,8.61,RU,1666514889
409,coquimbo,-29.9533,-71.3436,53.33,93,100,2.3,CL,1666514890
410,san ramon,37.7799,-121.978,56.28,69,0,3.44,US,1666514884
411,anamur,36.0751,32.8369,74.37,26,0,4.07,TR,1666514817
412,umm lajj,25.0213,37.2685,85.93,50,0,15.84,SA,1666514892
413,pleasanton,37.6624,-121.8747,56.79,77,0,1.99,US,1666514702
414,hingatungan,10.584,125.1852,82.74,78,90,5.84,PH,1666514894
415,rancho palos verdes,33.7445,-118.387,63.99,85,23,4.0,US,1666514895
416,lasa,46.6166,10.7002,50.88,84,80,4.0,IT,1666514896
417,mantua,45.1667,10.7833,69.35,78,56,3.0,IT,1666514896
418,bathsheba,13.2167,-59.5167,81.21,83,20,10.36,BB,1666514897
419,sai buri,6.7013,101.6168,82.11,78,100,1.52,TH,1666514898
420,saint-ambroise,48.5501,-71.3324,44.2,87,2,4.61,CA,1666514899
421,atherton,53.5237,-2.4935,57.88,93,100,1.99,GB,1666514900
422,kirksville,40.1948,-92.5833,62.06,74,0,12.66,US,1666514901
423,indianola,41.3581,-93.5574,64.99,63,0,16.17,US,1666514901
424,axim,4.8699,-2.2405,81.75,75,20,4.72,GH,1666514902
425,zhangye,38.9342,100.4517,65.5,18,2,7.94,CN,1666514903
426,singapore,1.2897,103.8501,86.2,63,75,6.91,SG,1666514604
427,nouadhibou,20.931,-17.0347,67.98,94,40,16.11,MR,1666514905
428,sortavala,61.7053,30.6918,44.56,80,100,9.73,RU,1666514905
429,mahon,39.8885,4.2658,77.56,83,0,8.05,ES,1666514906
430,taunggyi,20.7833,97.0333,73.63,66,69,4.09,MM,1666514907
431,bosaso,11.2842,49.1816,82.38,78,20,9.22,SO,1666514908
432,sindhnur,15.7833,76.7667,83.12,39,5,11.01,IN,1666514909
433,guerrero negro,27.9769,-114.0611,69.04,70,97,10.49,MX,1666514910
434,tual,-5.6667,132.75,84.36,72,100,6.08,ID,1666514911
435,katobu,-4.9408,122.5276,83.7,72,92,5.3,ID,1666514912
436,kachiry,53.0675,76.1036,38.21,64,100,19.95,KZ,1666514913
437,fairhope,30.523,-87.9033,58.12,85,0,4.61,US,1666514913
438,kirakira,-10.4544,161.9205,80.06,83,100,7.65,SB,1666514914
439,codrington,-38.2667,141.9667,56.64,93,100,12.53,AU,1666514915
440,palenque,17.5167,-91.9667,69.93,95,65,2.86,MX,1666514820
441,maldonado,-34.6667,-54.9167,54.23,94,19,5.1,UY,1666514917
442,luanda,-8.8368,13.2343,78.8,78,75,10.36,AO,1666514917
443,karaman,37.0833,33.25,52.12,32,0,3.56,TR,1666514919
444,preobrazheniye,42.9019,133.9064,44.38,47,9,5.82,RU,1666514920
445,clones,54.1833,-7.2333,54.37,95,100,8.43,IE,1666514921
446,kalino,58.2504,57.6085,34.09,64,100,10.98,RU,1666514922
447,ulladulla,-35.35,150.4667,61.7,94,100,7.83,AU,1666514922
448,bloomfield,40.8068,-74.1854,57.9,80,100,8.05,US,1666514697
449,pierre,44.3683,-100.351,43.72,75,0,11.5,US,1666514924
450,stokmarknes,68.5646,14.9108,33.78,80,100,14.97,NO,1666514925
451,nhulunbuy,-12.2333,136.7667,84.04,79,45,12.95,AU,1666514926
452,san juan,-31.5375,-68.5364,57.85,53,4,1.07,AR,1666514890
453,fort frances,48.5999,-93.4003,48.06,77,0,8.05,CA,1666514865
454,deer lake,49.1667,-57.4316,33.66,100,0,2.3,CA,1666514928
455,padang,-0.9492,100.3543,84.25,82,100,0.47,ID,1666514929
456,bubaque,11.2833,-15.8333,82.99,75,96,5.88,GW,1666514929
457,buraydah,26.326,43.975,88.25,9,1,11.79,SA,1666514929
458,atambua,-9.1061,124.8925,81.3,72,41,4.72,ID,1666514931
459,laem sing,12.4816,102.0738,91.74,81,100,3.91,TH,1666514932
460,tuban,-6.8976,112.0649,85.62,70,100,8.55,ID,1666514932
461,salta,-24.7859,-65.4117,64.99,68,75,3.44,AR,1666514934
462,macamic,48.7502,-78.9996,46.06,94,17,5.86,CA,1666514935
463,berlevag,70.8578,29.0864,40.95,81,75,23.02,NO,1666514936
464,lorain,41.3334,-82.1499,60.17,78,0,8.05,US,1666514936
465,coari,-4.085,-63.1414,72.95,97,90,2.53,BR,1666514734
466,luderitz,-26.6481,15.1594,71.96,57,85,19.57,NA,1666514938
467,talas,38.6908,35.5538,48.87,53,0,0.0,TR,1666514939
468,xai-xai,-25.0519,33.6442,80.47,62,75,9.66,MZ,1666514940
469,tezu,27.9167,96.1667,84.0,49,99,0.74,IN,1666514941
470,biak,-0.9131,122.8766,81.97,74,99,3.24,ID,1666514942
471,valdez,1.2492,-78.9831,75.43,85,100,9.19,EC,1666514943
472,chara,56.9064,118.2631,23.07,74,40,0.04,RU,1666514944
473,grindavik,63.8424,-22.4338,41.47,87,75,19.57,IS,1666514945
474,vardo,70.3705,31.1107,35.58,87,75,14.97,NO,1666514946
475,nanakuli,21.3906,-158.1547,80.55,67,0,4.61,US,1666514946
476,luza,60.6308,47.2512,37.94,83,100,13.44,RU,1666514947
477,lac-megantic,45.5834,-70.8823,47.37,68,99,2.68,CA,1666514948
478,quime,-16.9833,-67.2167,48.76,84,100,0.89,BO,1666514949
479,floresta,-8.6011,-38.5686,74.73,70,52,10.18,BR,1666514950
480,matara,5.9485,80.5353,84.31,66,98,13.6,LK,1666514951
481,maceio,-9.6658,-35.7353,72.84,94,20,4.61,BR,1666514951
482,makakilo city,21.3469,-158.0858,79.12,69,0,10.36,US,1666514953
483,batesville,35.7698,-91.641,68.07,69,0,8.05,US,1666514954
484,farafangana,-22.8167,47.8333,80.08,64,19,13.71,MG,1666514956
485,saint-louis,16.3333,-15.0,78.44,54,0,12.46,SN,1666514957
486,yaizu,34.8667,138.3333,71.29,43,20,19.57,JP,1666514958
487,montepuez,-13.1256,38.9997,90.36,23,5,7.0,MZ,1666514959
488,mayumba,-3.432,10.6554,78.53,85,96,3.42,GA,1666514960
489,hvide sande,56.0045,8.1294,53.1,86,46,7.11,DK,1666514961
490,salacgriva,57.7536,24.3581,50.09,93,100,9.4,LV,1666514961
491,fairbanks,64.8378,-147.7164,31.23,95,100,0.0,US,1666514691
492,makat,47.6469,53.3463,49.75,40,100,9.62,KZ,1666514963
493,wanning,18.8003,110.3967,78.28,79,100,7.74,CN,1666514964
494,shelburne,44.0787,-80.2041,56.59,72,13,7.65,CA,1666514841
495,oyotun,-6.8519,-79.3036,66.15,78,85,1.1,PE,1666514966
496,laguna,38.421,-121.4238,59.13,44,0,14.97,US,1666514966
497,ambon,-3.6954,128.1814,86.14,74,20,6.91,ID,1666514968
498,aksu,41.1231,80.2644,64.63,21,86,2.8,CN,1666514968
499,lingsugur,16.1667,76.5167,81.43,41,9,12.06,IN,1666514970
500,chumikan,54.7183,135.315,31.78,71,19,9.26,RU,1666514971
501,pulsano,40.3821,17.3564,72.48,68,21,3.51,IT,1666514972
502,harper,4.375,-7.7169,79.23,82,88,7.65,LR,1666514973
503,arlit,18.7369,7.3853,83.64,16,19,8.88,NE,1666514974
504,warkworth,-36.4,174.6667,55.53,78,0,5.19,NZ,1666514974
505,bermeo,43.4209,-2.7215,73.6,53,98,20.89,ES,1666514975
506,galesong,-5.3166,119.3661,78.82,70,100,7.0,ID,1666514976
507,bassano,50.7834,-112.4685,34.83,71,100,12.01,CA,1666514730
508,nizhniy tsasuchey,50.5167,115.1333,38.46,44,39,2.51,RU,1666514978
509,angoche,-16.2325,39.9086,85.93,55,0,15.61,MZ,1666514979
510,atar,20.5169,-13.0499,87.85,11,2,7.58,MR,1666514979
511,aykhal,66.0,111.5,27.66,96,100,10.92,RU,1666514980
512,margate,51.3813,1.3862,62.91,91,100,3.0,GB,1666514981
513,portland,45.5234,-122.6762,49.6,91,75,4.0,US,1666514731
514,beira,-19.8436,34.8389,86.09,66,75,12.66,MZ,1666514982
515,fuyu,45.1833,124.8167,41.2,41,81,7.65,CN,1666514983
516,bantry,51.6833,-9.45,53.78,92,95,4.99,IE,1666514984
517,iskateley,67.6803,53.1512,31.73,97,100,18.1,RU,1666514986
518,alugan,12.2188,125.4808,82.08,82,87,7.0,PH,1666514986
519,celestun,20.8667,-90.4,68.58,79,0,11.25,MX,1666514987
520,sangar,63.9242,127.4739,10.94,97,83,4.97,RU,1666514988
521,kashi,39.4547,75.9797,65.41,19,20,6.71,CN,1666514989
522,diapaga,12.0708,1.7889,88.88,23,19,7.16,BF,1666514990
523,rawson,-43.3002,-65.1023,59.05,32,96,24.96,AR,1666514991
524,riyadh,24.6877,46.7219,89.74,13,0,9.15,SA,1666514731
525,phalaborwa,-23.943,31.1411,76.73,60,99,3.15,ZA,1666514993
526,hutchinson,38.0608,-97.9298,69.75,51,0,12.66,US,1666514993
527,ponta delgada,37.7333,-25.6667,66.51,88,75,17.27,PT,1666514994
528,malinao,7.5917,124.6889,71.87,92,100,2.66,PH,1666514995
529,murdochville,48.9583,-65.5006,45.48,89,7,4.76,CA,1666514996
530,potosi,-19.5836,-65.7531,39.13,71,86,2.06,BO,1666514997
531,tumbi,-5.0667,32.7333,90.88,19,14,7.49,TZ,1666514998
532,alice springs,-23.7,133.8833,88.21,40,28,17.27,AU,1666514999
533,koster,-25.863,26.8976,76.19,40,87,10.94,ZA,1666515000
534,gamba,-2.65,10.0,81.48,75,78,5.64,GA,1666515000
535,palana,59.1167,159.9667,22.78,86,84,5.19,RU,1666515001
536,jalu,29.0331,21.5482,72.09,42,0,9.15,LY,1666515003
537,port augusta,-32.5,137.7667,60.67,84,99,10.92,AU,1666515003
538,esso,55.9333,158.7,9.72,91,42,4.38,RU,1666515004
539,hirara,24.8,125.2833,75.47,94,75,24.16,JP,1666515005
540,berdigestyakh,62.0989,126.6992,28.04,97,100,5.03,RU,1666515007
541,maravilha,-26.7608,-53.1725,53.28,97,1,1.01,BR,1666515007
542,chopovychi,50.8332,28.9533,52.07,89,100,11.9,UA,1666515008
543,zyryanka,65.75,150.85,-2.15,96,37,7.2,RU,1666515009
544,richards bay,-28.783,32.0377,78.31,63,58,3.83,ZA,1666515011
545,cap-aux-meules,47.3821,-61.8597,51.82,82,34,14.97,CA,1666514916
546,cordeiro,-22.0286,-42.3608,66.29,90,100,1.39,BR,1666515012
547,mountain home,43.133,-115.6912,36.88,75,0,17.27,US,1666515013
548,pevek,69.7008,170.3133,17.6,95,100,9.44,RU,1666515014
549,mildura,-34.2,142.15,63.07,100,75,10.36,AU,1666514974
550,yumen,40.2833,97.2,62.76,16,3,3.58,CN,1666515016
551,basco,20.4487,121.9702,81.91,80,80,12.33,PH,1666515017
552,tura,25.5198,90.2201,82.2,63,95,2.68,IN,1666515018
553,suntar,62.1444,117.6319,30.72,86,99,8.72,RU,1666515019
554,amahai,-3.3333,128.9167,83.14,74,100,5.59,ID,1666515020
555,marang,5.2056,103.2059,84.11,79,100,8.37,MY,1666515021
556,japura,-0.3167,102.35,80.11,91,95,4.61,ID,1666515022
557,taoudenni,22.6783,-3.9836,86.59,13,59,13.98,ML,1666515023
558,orlik,52.5178,99.825,49.39,37,22,6.51,RU,1666515024
559,alta floresta,-9.8756,-56.0861,69.33,95,100,2.57,BR,1666515025
560,hongjiang,27.11,109.9956,81.46,24,17,5.32,CN,1666515026
561,matai,-8.3,31.5167,84.63,20,38,6.93,TZ,1666515027
562,pacific grove,36.6177,-121.9166,55.65,81,0,20.0,US,1666514859
563,kathmandu,27.7167,85.3167,79.02,27,40,8.05,NP,1666515028
564,kovdor,67.5662,30.4758,34.54,68,99,21.9,RU,1666514931
565,gimli,50.6336,-96.9907,44.62,87,100,18.41,CA,1666515030
566,ringe,55.2451,10.4706,55.67,85,48,8.12,DK,1666515031
567,norfolk,42.1668,-71.2495,52.52,94,100,3.09,US,1666514828
568,half moon bay,37.4636,-122.4286,57.78,76,0,19.57,US,1666514910
569,nuevitas,21.5453,-77.2644,76.62,84,65,4.14,CU,1666515033
570,vieux-habitants,16.0589,-61.7659,71.17,78,0,5.59,GP,1666515034
571,nurota,40.5614,65.6886,58.6,54,100,7.63,UZ,1666515035
572,majene,-3.5403,118.9707,82.51,78,97,4.68,ID,1666515036
573,buenavista,8.9769,125.4089,81.43,81,95,3.71,PH,1666515037
574,asau,46.4333,26.4,56.32,61,65,5.57,RO,1666515038
575,bonavista,48.6499,-53.1147,50.5,82,0,18.28,CA,1666515039
576,conde,-7.2597,-34.9075,76.46,83,75,3.44,BR,1666515040
577,santa ana,33.7456,-117.8678,64.56,83,75,8.05,US,1666515041
578,joshimath,30.5667,79.5667,65.84,46,23,7.09,IN,1666515042
